,index,year,round,pick,player,position,school
0,422,1989,1,1.0,Pervis Ellison,PF,Louisville 
1,423,1989,1,2.0,Danny Ferry,PF,Duke 
2,424,1989,1,3.0,Sean Elliott,SF/SG,Arizona 
3,425,1989,1,4.0,Glen Rice,SF,Michigan 
4,426,1989,1,5.0,J. R. Reid,PF/C,North Carolina 
5,427,1989,1,6.0,Stacey King,C,Oklahoma 
6,428,1989,1,7.0,George McCloud,SG/SF,Florida State 
7,429,1989,1,8.0,Randy White,PF,Louisiana Tech 
8,430,1989,1,9.0,Tom Hammonds,PF/C,Georgia Tech 
9,431,1989,1,10.0,Pooh Richardson,PG,UCLA 
10,432,1989,1,11.0,Nick Anderson,SF/SG,Illinois 
11,433,1989,1,12.0,Mookie Blaylock,PG,Oklahoma 
12,434,1989,1,13.0,Michael Smith,PF,BYU 
13,435,1989,1,14.0,Tim Hardaway*,PG,UTEP 
14,436,1989,1,15.0,Todd Lichti,SG,Stanford 
15,437,1989,1,16.0,Dana Barros,PG,Boston College 
16,438,1989,1,17.0,Shawn Kemp,PF/C,Trinity Valley CC
17,439,1989,1,18.0,B. J. Armstrong,PG,Iowa 
18,440,1989,1,19.0,Kenny Payne,PF,Louisville 
19,441,1989,1,20.0,Jeff Sanders,PF/C,Georgia Southern 
20,442,1989,1,21.0,Blue Edwards,SF/SG,East Carolina 
21,443,1989,1,22.0,Byron Irvin,SG,Missouri 
22,444,1989,1,23.0,Roy Marble,SG/SF,Iowa 
23,445,1989,1,24.0,Anthony Cook,PF/C,Arizona 
24,446,1989,1,25.0,John Morton,PG,Seton Hall 
25,447,1989,1,26.0,Vlade Divac,C,KK Partizan 
26,448,1989,1,27.0,Kenny Battle,PF,Illinois 
27,449,1989,2,28.0,Sherman Douglas,G,Syracuse 
28,450,1989,2,29.0,Dyron Nix,F,Tennessee 
29,451,1989,2,30.0,Frank Kornet,F,Vanderbilt 
30,452,1989,2,31.0,Jeff Martin,G,Murray State 
31,453,1989,2,32.0,Stanley Brundy,F,DePaul 
32,454,1989,2,33.0,Jay Edwards,G,Indiana 
33,455,1989,2,34.0,Gary Leonard,C,Missouri 
34,456,1989,2,35.0,Pat Durham,F,Colorado State 
35,457,1989,2,36.0,Cliff Robinson,PF/C,Connecticut 
36,458,1989,2,37.0,Michael Ansley,F,Alabama 
37,459,1989,2,38.0,Doug West,G/F,Villanova 
38,460,1989,2,39.0,Ed Horton,PF/C,Iowa 
39,461,1989,2,40.0,Dino Rađa,PF,KK Split 
40,462,1989,2,41.0,Doug Roth,C,Tennessee 
41,463,1989,2,42.0,Michael Cutright,SG,McNeese State 
42,464,1989,2,43.0,Chucky Brown,PF,North Carolina State 
43,465,1989,2,44.0,Reggie Cross,PF,Hawaii 
44,466,1989,2,45.0,Scott Haffner,G,Evansville 
45,467,1989,2,46.0,Ricky Blanton,F,LSU 
46,468,1989,2,47.0,Reggie Turner,SF,UAB 
47,469,1989,2,48.0,Junie Lewis,PG,South Alabama 
48,470,1989,2,49.0,Haywoode Workman,G,Oral Roberts 
49,471,1989,2,50.0,Brian Quinnett,F,Washington State 
50,472,1989,2,51.0,Mike Morrison,G,Loyola 
51,473,1989,2,52.0,Greg Grant,G,Trenton State 
52,474,1989,2,53.0,Jeff Hodge,SG,South Alabama 
53,475,1989,2,54.0,Toney Mack,SG,Georgia 
54,476,1990,1,1.0,Derrick Coleman,PF/C,Syracuse
55,477,1990,1,2.0,Gary Payton,PG,Oregon State
56,478,1990,1,3.0,Chris Jackson,PG,LSU
57,479,1990,1,4.0,Dennis Scott,SG/SF,Georgia Tech
58,480,1990,1,5.0,Kendall Gill,SG,Illinois
59,481,1990,1,6.0,Felton Spencer,C,Louisville
60,482,1990,1,7.0,Lionel Simmons,SF,La Salle
61,483,1990,1,8.0,Bo Kimble,SG,Loyola Marymount
62,484,1990,1,9.0,Willie Burton,SG,Minnesota
63,485,1990,1,10.0,Rumeal Robinson,PG,Michigan
64,486,1990,1,11.0,Tyrone Hill,PF,Xavier
65,487,1990,1,12.0,Alec Kessler,PF,Georgia
66,488,1990,1,13.0,Loy Vaught,PF,Michigan
67,489,1990,1,14.0,Travis Mays,PG,Texas
