,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Round 1,Unnamed: 4_level_0,Totals,Shooting,Per Game,Advanced,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
0,1,1,PHO,Deandre Ayton,University of Arizona,1,55,1707,904,577,107,.589,.000,.764,31.0,16.4,10.5,1.9,4.8,.134,0.6,1.1
1,2,2,SAC,Marvin Bagley,Duke University,1,45,1110,618,320,44,.509,.254,.686,24.7,13.7,7.1,1.0,2.4,.106,-1.7,0.1
2,3,3,ATL,Luka Doncic,,1,55,1772,1140,395,307,.430,.348,.722,32.2,20.7,7.2,5.6,4.2,.114,3.8,2.6
3,4,4,MEM,Jaren Jackson,Michigan State University,1,58,1515,798,272,64,.506,.359,.766,26.1,13.8,4.7,1.1,3.5,.110,0.3,0.9
4,5,5,DAL,Trae Young,University of Oklahoma,1,60,1813,1033,197,460,.407,.317,.806,30.2,17.2,3.3,7.7,1.0,.027,-2.9,-0.4
5,6,6,ORL,Mohamed Bamba,University of Texas at Austin,1,47,766,292,233,39,.481,.300,.587,16.3,6.2,5.0,0.8,1.7,.103,-0.1,0.4
6,7,7,CHI,Wendell Carter,Duke University,1,44,1110,455,307,78,.485,.188,.795,25.2,10.3,7.0,1.8,2.0,.085,-0.2,0.5
7,8,8,CLE,Collin Sexton,University of Alabama,1,60,1829,901,187,174,.408,.395,.848,30.5,15.0,3.1,2.9,-1.4,-.037,-6.2,-2.0
8,9,9,NYK,Kevin Knox,University of Kentucky,1,53,1508,672,235,51,.366,.337,.728,28.5,12.7,4.4,1.0,-1.1,-.035,-6.2,-1.6
9,10,10,PHI,Mikal Bridges,Villanova University,1,61,1701,493,188,113,.427,.349,.781,27.9,8.1,3.1,1.9,2.0,.057,0.0,0.9
10,11,11,CHO,Shai Gilgeous-Alexander,University of Kentucky,1,61,1569,603,164,186,.458,.319,.807,25.7,9.9,2.7,3.0,1.5,.046,-1.3,0.3
11,12,12,LAC,Miles Bridges,Michigan State University,1,57,1084,375,201,54,.453,.312,.733,19.0,6.6,3.5,0.9,1.6,.072,-1.5,0.1
12,13,13,LAC,Jerome Robinson,Boston College,1,24,223,78,27,8,.380,.341,.667,9.3,3.3,1.1,0.3,0.1,.022,-4.6,-0.1
13,14,14,DEN,Michael Porter,University of Missouri,,,,,,,,,,,,,,,,,
14,15,15,WAS,Troy Brown,University of Oregon,1,30,212,70,39,29,.394,.250,.667,7.1,2.3,1.3,1.0,0.2,.036,-5.1,-0.2
15,16,16,PHO,Zhaire Smith,Texas Tech University,,,,,,,,,,,,,,,,,
16,17,17,MIL,Donte DiVincenzo,Villanova University,1,23,358,110,56,27,.393,.246,.818,15.6,4.8,2.4,1.2,0.5,.062,-1.9,0.0
