,name,number_in_team,team,headshot_src
0,"Adams, Jaylen",10,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png
1,"Adams, Steven",12,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
2,"Adebayo, Bam",13,Heat,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png
3,"Adel, Deng",32,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629061.png
4,"Aldridge, LaMarcus",12,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png
5,"Alkins, Rawle",20,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628959.png
6,"Allen, Grayson",24,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png
7,"Allen, Jarrett",31,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png
8,"Allen, Kadeem",0,Knicks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628443.png
9,"Aminu, Al-Farouq",8,Trail Blazers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png
10,"Anderson, Justin",1,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626147.png
11,"Anderson, Kyle",1,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png
12,"Anderson, Ryan",31,Heat,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201583.png
13,"Antetokounmpo, Giannis",34,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
14,"Antetokounmpo, Kostas",37,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628961.png
15,"Anunoby, OG",3,Raptors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
16,"Arcidiacono, Ryan",51,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png
17,"Ariza, Trevor",1,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png
18,"Augustin, D.J.",14,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png
19,"Ayton, Deandre",22,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png
20,"Bacon, Dwayne",7,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png
21,"Bagley III, Marvin",35,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png
22,"Ball, Lonzo",2,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
23,"Bamba, Mo",5,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png
24,"Barea, J.J.",5,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200826.png
25,"Barnes, Harrison",40,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png
26,"Barton, Will",5,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png
27,"Bates-Diop, Keita",31,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png
28,"Batum, Nicolas",5,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
29,"Bayless, Jerryd",8,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201573.png
30,"Baynes, Aron",46,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203382.png
31,"Bazemore, Kent",24,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203145.png
32,"Beal, Bradley",3,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png
33,"Beasley, Malik",25,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png
34,"Belinelli, Marco",18,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201158.png
35,"Bell, Jordan",2,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628395.png
36,"Bembry, DeAndre'",95,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png
37,"Bender, Dragan",35,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627733.png
38,"Bertans, Davis",42,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png
39,"Beverley, Patrick",21,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
40,"Birch, Khem",24,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
41,"Biyombo, Bismack",8,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png
42,"Bjelica, Nemanja",88,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202357.png
43,"Blakeney, Antonio",9,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628469.png
44,"Bledsoe, Eric",6,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png
45,"Blossomgame, Jaron",4,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628417.png
46,"Bluiett, Trevon",5,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629129.png
47,"Bogdanovic, Bogdan",8,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
48,"Bogdanovic, Bojan",44,Pacers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png
49,"Bolden, Jonah",43,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628413.png
