,number_in_team,team,headshot_src,lastName,firstName,id
0,10,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png,Adams,Jaylen,0
1,12,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,Adams,Steven,1
2,13,Heat,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,Adebayo,Bam,2
3,32,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629061.png,Adel,Deng,3
4,12,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,Aldridge,LaMarcus,4
5,20,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628959.png,Alkins,Rawle,5
6,24,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,Allen,Grayson,6
7,31,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,Allen,Jarrett,7
8,0,Knicks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628443.png,Allen,Kadeem,8
9,8,Trail Blazers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,Aminu,Al-Farouq,9
10,1,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626147.png,Anderson,Justin,10
11,1,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png,Anderson,Kyle,11
12,31,Heat,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201583.png,Anderson,Ryan,12
13,34,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,Antetokounmpo,Giannis,13
14,37,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628961.png,Antetokounmpo,Kostas,14
15,3,Raptors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png,Anunoby,OG,15
16,51,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png,Arcidiacono,Ryan,16
17,1,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png,Ariza,Trevor,17
18,14,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png,Augustin,D.J.,18
19,22,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png,Ayton,Deandre,19
20,7,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png,Bacon,Dwayne,20
21,35,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png,Bagley III,Marvin,21
22,2,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png,Ball,Lonzo,22
23,5,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png,Bamba,Mo,23
24,5,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200826.png,Barea,J.J.,24
25,40,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png,Barnes,Harrison,25
26,5,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png,Barton,Will,26
27,31,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png,Bates-Diop,Keita,27
28,5,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png,Batum,Nicolas,28
29,8,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201573.png,Bayless,Jerryd,29
30,46,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203382.png,Baynes,Aron,30
31,24,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203145.png,Bazemore,Kent,31
32,3,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png,Beal,Bradley,32
33,25,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png,Beasley,Malik,33
34,18,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201158.png,Belinelli,Marco,34
35,2,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628395.png,Bell,Jordan,35
36,95,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png,Bembry,DeAndre',36
37,35,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627733.png,Bender,Dragan,37
38,42,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png,Bertans,Davis,38
39,21,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png,Beverley,Patrick,39
40,24,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png,Birch,Khem,40
41,8,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png,Biyombo,Bismack,41
42,88,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202357.png,Bjelica,Nemanja,42
43,9,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628469.png,Blakeney,Antonio,43
44,6,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png,Bledsoe,Eric,44
45,4,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628417.png,Blossomgame,Jaron,45
46,5,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629129.png,Bluiett,Trevon,46
47,8,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,Bogdanovic,Bogdan,47
48,44,Pacers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png,Bogdanovic,Bojan,48
49,43,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628413.png,Bolden,Jonah,49
50,17,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png,Bonga,Isaac,50
51,1,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png,Booker,Devin,51
52,25,Raptors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png,Boucher,Chris,52
53,0,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png,Bradley,Avery,53
54,13,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628396.png,Bradley,Tony,54
55,33,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201147.png,Brewer,Corey,55
56,25,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png,Bridges,Mikal,56
57,0,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png,Bridges,Miles,57
58,13,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628515.png,Briscoe,Isaiah,58
59,45,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629151.png,Broekhoff,Ryan,59
60,13,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png,Brogdon,Malcolm,60
61,24,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png,Brooks,Dillon,61
62,6,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628972.png,Brown Jr.,Troy,62
63,6,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,Brown,Bruce,63
64,7,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png,Brown,Jaylen,64
65,23,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628425.png,Brown,Sterling,65
66,13,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png,Brunson,Jalen,66
67,13,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628418.png,Bryant,Thomas,67
68,35,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203493.png,Bullock,Reggie,68
69,23,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203504.png,Burke,Trey,69
70,13,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png,Burks,Alec,70
71,30,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629126.png,Burton,Deonte,71
72,23,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png,Butler,Jimmy,72
73,5,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203998.png,Caboclo,Bruno,73
74,81,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101181.png,Calderon,Jose,74
75,1,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png,Caldwell-Pope,Kentavious,75
76,7,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203477.png,Canaan,Isaiah,76
77,15,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png,Capela,Clint,77
78,9,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201960.png,Carroll,DeMarre,78
79,34,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png,Carter Jr.,Wendell,79
80,3,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png,Carter,Jevon,80
